TARGETID,TILEID,FIBER,batch,hdbscan_cluster,Z_LYA,PROB
39628008012647746,11084,4706,0010,n/a,2.227386236190796,0.9999624490737915
39628517872241826,9573,824,0010,n/a,2.3283095359802246,0.7232493758201599
39627745696678288,6273,3067,0010,n/a,2.3454668521881104,0.9999340772628784
39628528076985867,2832,4992,0010,n/a,3.3697409629821777,0.9891078472137451
39627835207324904,101418,2724,0010,n/a,2.8750905990600586,0.9999910593032837
39632949901004456,100909,4849,0010,n/a,2.227386236190796,0.9802010655403137
39628522737633281,3759,566,0010,n/a,2.3520476818084717,0.9600761532783508
39627785899083350,1315,4371,0010,n/a,2.3645987510681152,0.9999966621398926
39633117232762787,6683,4905,0010,n/a,2.619844675064087,0.9997629523277283
39627757566558885,1591,816,0010,n/a,2.434497594833374,0.9892323017120361
39628162828600483,2385,4524,0010,n/a,1.9978528022766113,0.9999997615814209
39627951662170750,4571,1680,0010,n/a,2.3131260871887207,0.999277651309967
39628391187483513,11279,4597,0010,n/a,2.040064573287964,0.9984166622161865
39627930162169502,1690,4030,0011,n/a,2.1297531127929688,0.9958425164222717
39627824071446529,3697,2182,0011,n/a,2.579606771469116,1.0
39628016069906948,6185,411,0011,n/a,2.7464802265167236,0.9958707690238953
39627933618274744,10601,870,0011,n/a,2.6719276905059814,0.7420634031295776
39628015843414109,102786,4020,0011,n/a,2.5373950004577637,0.9833990335464478
39628517998069489,11115,667,0011,n/a,2.4160237312316895,0.987504780292511
39627645687694263,10911,138,0011,n/a,2.3559961318969727,0.7346857190132141
39628133661413916,2382,3572,0011,n/a,2.5261600017547607,0.9999997615814209
39627775946003714,2143,812,0011,n/a,2.451655149459839,0.9995811581611633
39632986584386667,6465,1358,0011,n/a,2.702294111251831,0.9999221563339233
39627872251418689,3026,19,0011,n/a,2.4806578159332275,0.9950396418571472
39632971900126240,8017,1439,0011,n/a,2.4338395595550537,0.9961528182029724
39628512205734107,2181,809,0011,n/a,2.4272589683532715,0.997480571269989
39628206742962750,1078,3615,0011,n/a,2.221463680267334,0.9969655871391296
39627640776166544,2445,1806,0011,n/a,2.7108490467071533,0.9999920129776001
39632961884130299,384,1297,0011,n/a,2.839459180831909,0.9994045495986938
39628494103119617,6497,1033,0011,n/a,2.4351553916931152,1.0
39632936105935169,2196,303,0011,n/a,2.710191011428833,0.9999998807907104
39632996155787818,5292,869,0011,n/a,2.1640684604644775,0.9529501795768738
