TARGETID,TILEID,FIBER,batch,hdbscan_cluster,Z_LYA,PROB
39627691715990766,5781,920,0007,-1,2.1390137672424316,0.9999873638153076
39627665036017996,11828,4225,0007,124,2.7965893745422363,0.9522359371185303
39627817930986078,30,2216,0007,65,3.129678249359131,1.0
39627975389348053,5828,4379,0007,124,2.274204730987549,1.0
39627993621988792,4362,4527,0007,0,2.7524030208587646,0.9999067783355713
39632981362476284,8422,3572,0007,124,2.579606771469116,0.5413876175880432
39627897442406748,9030,4210,0007,99,2.270256280899048,0.9999550580978394
39627766122941189,1856,3114,0007,121,2.4747354984283447,0.9997921586036682
39632940866472431,5304,3979,0007,24,2.0591964721679688,0.6226267218589783
39627701241254195,11871,2222,0007,50,2.6119003295898438,0.9957205653190613
39632989776250959,9963,4892,0007,60,2.9159862995147705,0.7624959349632263
39633166381613258,4760,4298,0007,80,2.4819741249084473,0.9982755184173584
39627779754430188,10311,1975,0007,26,2.500447988510132,0.6725442409515381
39627655800164026,4242,3831,0007,109,2.471445083618164,0.5210321545600891
39627676767490973,3229,4674,0007,80,2.266307830810547,0.6502730250358582
39627920578184617,6829,897,0007,6,2.462184190750122,0.8851913809776306
39627995471678044,2258,4012,0007,65,2.422604560852051,0.5100781321525574
39627885589306391,9219,4029,0007,94,2.126462697982788,0.990796685218811
39627811874406846,7706,2451,0007,113,2.8810133934020996,0.9162455201148987
39627721931752409,10474,2151,0008,124,2.1079893112182617,0.9649602770805359
39628033497238734,8633,3234,0008,124,2.600713014602661,0.9999967813491821
39628041504170736,6126,2923,0008,124,2.155513286590576,0.6058875322341919
39628527712077154,11547,4259,0008,124,2.125804901123047,0.9989925026893616
39627815481512563,6400,3556,0008,8,2.7675864696502686,0.9669040441513062
39627842601878326,8931,499,0008,124,2.7715351581573486,0.9999799728393555
39627711450193498,1836,4344,0008,124,2.3540220260620117,0.8290960192680359
39628492052104369,9546,383,0008,124,2.0288772583007812,0.9999992847442627
39628364872421243,8540,1636,0008,124,1.9860076904296875,0.9975027441978455
39628495508212103,11358,2640,0008,124,2.284123420715332,0.9999821186065674
39627375037649512,5581,4338,0008,65,2.1858325004577637,0.9999998807907104
