TILEID,SURVEY,PROGRAM,FAPRGRM,NEXP,EXPTIME_TOTAL,AIRMASS_MEAN,SEEING_ETC_MEAN,SEEING_GFA_MEAN,TRANSPARENCY_GFA_MEAN,SKY_MAG_AB_GFA_MEAN,SKY_MAG_G_SPEC_MEAN,SKY_MAG_R_SPEC_MEAN,SKY_MAG_Z_SPEC_MEAN,EBV_MEAN
80621,sv1,dark,elg,10,9000.527161,1.227437,,1.203293,0.825295,20.648235,21.990234,20.987077,19.171977,0.036302
80622,sv1,dark,lrgqso,6,5400.346680,1.021073,,0.955822,1.004854,20.834747,22.194488,21.244647,19.445891,0.025328
80623,sv1,dark,elg,8,7200.412109,1.013347,,0.876767,0.767291,20.819076,22.047105,21.161731,19.601794,0.024416
80624,sv1,bright,bgsmws,11,3300.857300,1.174046,,1.418782,0.999705,20.619802,21.644032,20.697785,18.994308,0.190091
80626,sv1,bright,bgsmws,2,600.132202,1.081878,,1.392806,0.831603,21.052949,21.838886,21.116164,19.666401,0.110555
80627,sv1,bright,bgsmws,4,1200.241394,1.058024,,1.509874,0.988004,20.789870,21.954260,21.037983,19.360021,0.050260
80628,sv1,bright,bgsmws,6,1527.197205,1.271708,,1.196210,0.997809,20.495342,21.189859,20.611940,19.435785,0.037730
80629,sv1,bright,bgsmws,5,1500.428986,1.382459,,0.975070,0.984059,20.386117,21.270567,20.672602,19.599391,0.024475
80632,sv1,bright,bgsmws,11,3088.892380,1.599697,,1.389768,0.900224,19.813624,20.441285,19.810236,18.486687,0.021537
80633,sv1,bright,bgsmws,7,2100.479340,1.541181,,1.204903,1.008597,20.066907,20.511396,20.118204,19.025259,0.021494
80635,sv1,bright,bgsmws,2,600.150848,1.354718,,1.393868,1.010924,21.364357,22.030277,21.001080,19.287607,0.033027
80636,sv1,bright,bgsmws,8,4666.254089,1.325657,,1.228596,0.741029,20.281595,20.711960,20.173447,18.918307,0.116251
80637,sv1,bright,bgsmws,5,3633.117981,1.555646,,2.254511,0.914305,20.195999,20.307232,20.091263,19.243450,0.024683
80638,sv1,bright,bgsmws,4,1200.327972,2.127607,,1.482075,1.037614,20.472011,21.408454,20.674212,19.370989,0.008045
80639,sv1,bright,bgsmws,13,4264.066971,1.251413,,1.880218,0.746046,20.507998,21.046844,20.408317,18.969118,0.059989
80640,sv1,bright,bgsmws,10,3000.783142,1.676661,,1.173715,0.770536,20.369559,20.970411,20.244825,18.712769,0.040151
80641,sv1,bright,bgsmws,17,5101.213104,1.064868,,0.836101,0.749852,20.347170,20.799844,20.261082,19.050566,0.146609
80642,sv1,bright,bgsmws,16,4801.316101,1.047101,,0.852885,0.930805,20.077618,20.494159,20.148865,19.153344,0.130239
80643,sv1,bright,bgsmws,13,3900.944000,1.061236,,1.128754,0.828611,20.366751,20.729764,20.327492,19.321589,0.049527
80644,sv1,bright,bgsmws,15,4501.059723,1.064619,,1.022513,0.943592,19.913402,20.201427,19.929101,19.087845,0.044266
80645,sv1,bright,bgsmws,13,3900.928528,1.043302,,0.893084,0.943070,20.484153,20.793860,20.339297,19.279104,0.048298
80646,sv1,bright,bgsmws,12,4698.413254,1.079584,,0.920696,0.918480,20.424031,20.813309,20.291123,19.150861,0.040555
80647,sv1,bright,bgsmws,11,6699.727783,1.513946,,1.710128,0.963937,20.101686,20.407296,20.147511,18.891331,0.025734
